# Result: 'mechDisplacement' on node(s) 'top_right' number #1002
# t (s)  x (m)  y (m)  
# ---------------------------------------------------------------------------
0.0001982  2.08452e-12  -2.25383e-11
0.0003964  2.0194e-11  -2.41278e-10
0.0005946  8.68906e-11  -1.1731e-09
0.0007928  2.47443e-10  -3.75354e-09
0.000991  5.48139e-10  -9.24427e-09
0.0011892  1.02284e-09  -1.90124e-08
0.0013874  1.68015e-09  -3.42221e-08
0.0015856  2.49333e-09  -5.54914e-08
0.0017838  3.39503e-09  -8.25751e-08
0.001982  4.2784e-09  -1.14141e-07
0.0021802  5.00733e-09  -1.47704e-07
0.0023784  5.4364e-09  -1.79757e-07
0.0025766  5.43347e-09  -2.06026e-07
0.0027748  4.89155e-09  -2.21755e-07
0.002973  3.72689e-09  -2.21995e-07
0.0031712  1.87997e-09  -2.02033e-07
0.0033694  -6.6909e-10  -1.58026e-07
0.0035676  -3.88241e-09  -8.76963e-08
0.0037658  -7.65388e-09  9.05613e-09
0.003964  -1.18011e-08  1.29702e-07
0.0041622  -1.60624e-08  2.68873e-07
0.0043604  -2.01077e-08  4.18509e-07
0.0045586  -2.3562e-08  5.68403e-07
0.0047568  -2.60422e-08  7.07124e-07
0.004955  -2.72105e-08  8.23256e-07
0.0051532  -2.68214e-08  9.06662e-07
0.0053514  -2.47387e-08  9.49438e-07
0.0055496  -2.09394e-08  9.46524e-07
0.0057478  -1.55209e-08  8.96184e-07
0.005946  -8.71209e-09  8.00373e-07
0.0061442  -8.74744e-10  6.64868e-07
0.0063424  7.51145e-09  4.99084e-07
0.0065406  1.58685e-08  3.15632e-07
0.0067388  2.35466e-08  1.29598e-07
0.006937  2.98664e-08  -4.24841e-08
0.0071352  3.41749e-08  -1.83977e-07
0.0073334  3.59188e-08  -2.79709e-07
0.0075316  3.47236e-08  -3.17567e-07
0.0077298  3.04447e-08  -2.89713e-07
0.007928  2.3171e-08  -1.93207e-07
0.0081262  1.32088e-08  -3.02062e-08
0.0083244  1.0693e-09  1.92036e-07
0.0085226  -1.25543e-08  4.61496e-07
0.0087208  -2.68317e-08  7.62075e-07
0.008919  -4.08452e-08  1.07456e-06
0.0091172  -5.36387e-08  1.37773e-06
0.0093154  -6.42677e-08  1.64967e-06
0.0095136  -7.18558e-08  1.86915e-06
0.0097118  -7.56643e-08  2.01738e-06
0.00991  -7.51768e-08  2.07968e-06
0.0101082  -7.01783e-08  2.04717e-06
0.0103064  -6.08022e-08  1.9178e-06
0.0105046  -4.75268e-08  1.6969e-06
0.0107028  -3.11374e-08  1.39698e-06
0.010901  -1.26758e-08  1.037e-06
0.0110992  6.6376e-09  6.41045e-07
0.0112974  2.55068e-08  2.3643e-07
0.0114956  4.26549e-08  -1.48351e-07
0.0116938  5.69045e-08  -4.85669e-07
0.011892  6.72448e-08  -7.50711e-07
0.0120902  7.28872e-08  -9.23262e-07
0.0122884  7.33186e-08  -9.89339e-07
0.0124866  6.83591e-08  -9.42624e-07
0.0126848  5.82122e-08  -7.85456e-07
0.012883  4.34775e-08  -5.29074e-07
0.0130812  2.51186e-08  -1.92961e-07
0.0132794  4.3971e-09  1.96595e-07
0.0134776  -1.72193e-08  6.08589e-07
0.0136758  -3.81763e-08  1.00989e-06
0.013874  -5.69699e-08  1.36806e-06
0.0140722  -7.22675e-08  1.654e-06
0.0142704  -8.2991e-08  1.84395e-06
0.0144686  -8.83742e-08  1.92102e-06
0.0146668  -8.79933e-08  1.87601e-06
0.014865  -8.17773e-08  1.70782e-06
0.0150632  -7.00263e-08  1.42354e-06
0.0152614  -5.3423e-08  1.03817e-06
0.0154596  -3.30069e-08  5.7389e-07
0.0156578  -1.0111e-08  5.87463e-08
0.015856  1.37255e-08  -4.75249e-07
0.0160542  3.68695e-08  -9.94407e-07
0.0162524  5.77305e-08  -1.46599e-06
0.0164506  7.49024e-08  -1.86083e-06
0.0166488  8.72774e-08  -2.15555e-06
0.016847  9.41143e-08  -2.33405e-06
0.0170452  9.50635e-08  -2.38825e-06
0.0172434  9.01545e-08  -2.31821e-06
0.0174416  7.97629e-08  -2.13175e-06
0.0176398  6.45901e-08  -1.84395e-06
0.017838  4.56461e-08  -1.47646e-06
0.0180362  2.42047e-08  -1.05637e-06
0.0182344  1.73137e-09  -6.14572e-07
0.0184326  -2.0199e-08  -1.83906e-07
0.0186308  -4.00061e-08  2.0313e-07
0.018829  -5.6241e-08  5.1692e-07
0.0190272  -6.77195e-08  7.33193e-07
0.0192254  -7.36268e-08  8.34981e-07
0.0194236  -7.35767e-08  8.13813e-07
0.0196218  -6.76159e-08  6.70013e-07
0.01982  -5.61824e-08  4.12225e-07
0.0200182  -4.00464e-08  5.64567e-08
0.0202164  -2.0256e-08  -3.75057e-07
0.0204146  1.91549e-09  -8.55176e-07
0.0206128  2.50402e-08  -1.35344e-06
0.020811  4.7612e-08  -1.83781e-06
0.0210092  6.81186e-08  -2.27655e-06
0.0212074  8.51346e-08  -2.64022e-06
0.0214056  9.74449e-08  -2.90406e-06
0.0216038  1.04163e-07  -3.05007e-06
0.021802  1.04818e-07  -3.06859e-06
0.0220002  9.93998e-08  -2.95913e-06
0.0221984  8.83443e-08  -2.73016e-06
0.0223966  7.24662e-08  -2.39816e-06
0.0225948  5.28771e-08  -1.98611e-06
0.022793  3.09028e-08  -1.52178e-06
0.0229912  7.99406e-09  -1.0359e-06
0.0231894  -1.43632e-08  -5.60163e-07
0.0233876  -3.47206e-08  -1.25531e-07
0.0235858  -5.17282e-08  2.39497e-07
0.023784  -6.42114e-08  5.10629e-07
0.0239822  -7.12712e-08  6.69653e-07
0.0241804  -7.23784e-08  7.06093e-07
0.0243786  -6.74387e-08  6.18305e-07
0.0245768  -5.68184e-08  4.13814e-07
0.024775  -4.13123e-08  1.0872e-07
0.0249732  -2.20581e-08  -2.73753e-07
0.0251714  -4.36691e-10  -7.05163e-07
0.0253696  2.20359e-08  -1.15402e-06
0.0255678  4.38276e-08  -1.58811e-06
0.025766  6.34915e-08  -1.97656e-06
0.0259642  7.97312e-08  -2.29158e-06
0.0261624  9.14478e-08  -2.50985e-06
0.0263606  9.77964e-08  -2.6139e-06
0.0265588  9.82563e-08  -2.59337e-06
0.026757  9.26923e-08  -2.44615e-06
0.0269552  8.13952e-08  -2.17882e-06
0.0271534  6.50855e-08  -1.80659e-06
0.0273516  4.48646e-08  -1.35225e-06
0.0275498  2.21216e-08  -8.44415e-07
0.027748  -1.58115e-09  -3.15298e-07
0.0279462  -2.46359e-08  2.01797e-07
0.0281444  -4.55269e-08  6.75035e-07
0.0283426  -6.29375e-08  1.07622e-06
0.0285408  -7.58033e-08  1.38228e-06
0.028739  -8.3344e-08  1.57638e-06
0.0289372  -8.5098e-08  1.64876e-06
0.0291354  -8.09543e-08  1.5974e-06
0.0293336  -7.11778e-08  1.42838e-06
0.0295318  -5.64224e-08  1.15587e-06
0.02973  -3.77113e-08  8.01457e-07
0.0299282  -1.6376e-08  3.92838e-07
0.0301264  6.03864e-09  -3.81489e-08
0.0303246  2.78952e-08  -4.57932e-07
0.0305228  4.76052e-08  -8.33894e-07
0.030721  6.37744e-08  -1.137e-06
0.0309192  7.53047e-08  -1.34385e-06
0.0311174  8.1436e-08  -1.43793e-06
0.0313156  8.17624e-08  -1.4103e-06
0.0315138  7.62402e-08  -1.25987e-06
0.031712  6.51807e-08  -9.93421e-07
0.0319102  4.92377e-08  -6.25211e-07
0.0321084  2.93893e-08  -1.76362e-07
0.0323066  6.89936e-09  3.26213e-07
0.0325048  -1.67529e-08  8.51398e-07
0.032703  -3.99639e-08  1.36589e-06
0.0329012  -6.11242e-08  1.83664e-06
0.0330994  -7.87667e-08  2.23354e-06
0.0332976  -9.17061e-08  2.53194e-06
0.0334958  -9.91279e-08  2.71442e-06
0.033694  -1.00621e-07  2.77176e-06
0.0338922  -9.6175e-08  2.70317e-06
0.0340904  -8.61633e-08  2.51602e-06
0.0342886  -7.12952e-08  2.22511e-06
0.0344868  -5.25664e-08  1.85165e-06
0.034685  -3.12122e-08  1.42204e-06
0.0348832  -8.64988e-09  9.6646e-07
0.0350814  1.35938e-08  5.17131e-07
0.0352796  3.39645e-08  1.06358e-07
0.0354778  5.09926e-08  -2.35786e-07
0.035676  6.34335e-08  -4.83967e-07
0.0358742  7.03923e-08  -6.19783e-07
0.0360724  7.13937e-08  -6.33184e-07
0.0362706  6.64034e-08  -5.23053e-07
0.0364688  5.5813e-08  -2.97029e-07
0.036667  4.03889e-08  2.9346e-08
0.0368652  2.11945e-08  4.34005e-07
0.0370634  -4.94013e-10  8.89996e-07
0.0372616  -2.32624e-08  1.36717e-06
0.0374598  -4.56303e-08  1.83388e-06
0.037658  -6.61193e-08  2.25875e-06
0.0378562  -8.33247e-08  2.61246e-06
0.0380544  -9.6013e-08  2.86975e-06
0.0382526  -1.03244e-07  3.01165e-06
0.0384508  -1.0447e-07  3.02709e-06
0.038649  -9.95842e-08  2.91395e-06
0.0388472  -8.89299e-08  2.67921e-06
0.0390454  -7.32731e-08  2.33839e-06
0.0392436  -5.37226e-08  1.9141e-06
0.0394418  -3.16246e-08  1.43419e-06
0.03964  -8.45228e-09  9.29578e-07
0.0398382  1.42939e-08  4.32183e-07
0.0400364  3.51658e-08  -2.69502e-08
0.0402346  5.2829e-08  -4.19292e-07
0.0404328  6.61195e-08  -7.20378e-07
0.040631  7.41225e-08  -9.11446e-07
0.0408292  7.62647e-08  -9.81026e-07
0.0410274  7.23793e-08  -9.26071e-07
0.0412256  6.27334e-08  -7.52423e-07
